station_id,station_name,address,city,state,latitude,longitude,price
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,42.318901,-87.847819,3.379
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,42.318901,-87.847819,3.499
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,42.318901,-87.847819,3.289
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,32.77627,-81.633394,3.499
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,35.148442,-90.17792,3.499
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,35.148442,-90.17792,3.291
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,33.31046,-86.806176,3.46566666
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,33.284546,-87.102379,3.12566666
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,35.084199,-92.423574,3.03233333
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,33.451,-112.0685,3.39233333
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,33.5675,-114.2731,3.959
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,33.5675,-114.2731,3.959
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,43.194327,-112.361545,3.53233333
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,32.701507,-114.642362,3.56566666
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,39.67703,-75.589938,3.449
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,39.67703,-75.589938,3.399
1042,Union 76,US-441 & SR-100A,Lake City,FL,30.0949,-82.7117,3.56233333
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,30.0949,-82.7117,3.259
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,30.0949,-82.7117,3.244
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,30.758587,-85.229367,3.60733333
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,32.547794,-82.90368,3.43233333
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,32.547794,-82.90368,3.399
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,33.477363,-82.494204,3.399
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,42.019626,-95.363572,3.399
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,42.571377,-92.768763,3.58233333
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,42.580374,-114.162762,3.799
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,42.446032,-87.904048,3.819
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,42.446032,-87.904048,3.879
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,42.446032,-87.904048,3.779
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,42.446032,-87.904048,3.769
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,38.152743,-88.889362,3.249
